167.234.14.243 - - [24/Apr/2017:05:50:56 -0400] "GET /jenkins/static/dc3ad335/scripts/sortable.js HTTP/1.1" 200 3999
167.234.14.243 - - [24/Apr/2017:05:50:56 -0400] "GET /jenkins/static/dc3ad335/jsbundles/pluginSetupWizard.js HTTP/1.1" 200 68475
167.234.14.243 - - [24/Apr/2017:05:50:57 -0400] "GET /jenkins/static/dc3ad335/css/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 6636
167.234.14.243 - - [24/Apr/2017:05:50:57 -0400] "GET /jenkins/static/dc3ad335/assets/bootstrap/jsmodules/bootstrap3.js HTTP/1.1" 200 18747
167.234.14.243 - - [24/Apr/2017:05:50:57 -0400] "GET /jenkins/static/dc3ad335/assets/bootstrap/jsmodules/bootstrap3/style.css HTTP/1.1" 200 22416
167.234.14.243 - - [24/Apr/2017:05:50:57 -0400] "GET /jenkins/static/dc3ad335/css/google-fonts/roboto/css/roboto.css HTTP/1.1" 200 515
167.234.14.243 - - [24/Apr/2017:05:50:57 -0400] "GET /jenkins/static/dc3ad335/assets/jquery-detached/jsmodules/jquery2.js HTTP/1.1" 200 39262
167.234.14.243 - - [24/Apr/2017:05:50:57 -0400] "GET /jenkins/static/dc3ad335/css/icomoon/css/icomoon.css HTTP/1.1" 200 1415
167.234.14.243 - - [24/Apr/2017:05:50:57 -0400] "GET /jenkins/static/dc3ad335/assets/handlebars/jsmodules/handlebars3.js HTTP/1.1" 200 63821
167.234.14.243 - - [24/Apr/2017:05:50:57 -0400] "GET /jenkins/static/dc3ad335/css/google-fonts/roboto/fonts/roboto-v15-greek_latin-ext_latin_vietnamese_cyrillic_greek-ext_cyrillic-ext-700.woff2 HTTP/1.1" 200 63396
167.234.14.243 - - [24/Apr/2017:05:50:57 -0400] "GET /jenkins/static/dc3ad335/css/google-fonts/roboto/fonts/roboto-v15-greek_latin-ext_latin_vietnamese_cyrillic_greek-ext_cyrillic-ext-500.woff2 HTTP/1.1" 200 63800
167.234.14.243 - - [24/Apr/2017:05:50:57 -0400] "GET /jenkins/static/dc3ad335/css/google-fonts/roboto/fonts/roboto-v15-greek_latin-ext_latin_vietnamese_cyrillic_greek-ext_cyrillic-ext-300.woff2 HTTP/1.1" 200 63104
167.234.14.243 - - [24/Apr/2017:05:50:57 -0400] "GET /jenkins/static/dc3ad335/css/google-fonts/roboto/fonts/roboto-v15-greek_latin-ext_latin_vietnamese_cyrillic_greek-ext_cyrillic-ext-regular.woff2 HTTP/1.1" 200 63156
167.234.14.243 - - [24/Apr/2017:05:50:57 -0400] "GET /jenkins/static/dc3ad335/css/icomoon/fonts/icomoon.ttf?-itxuas HTTP/1.1" 200 51116
167.234.14.243 - - [24/Apr/2017:05:51:48 -0400] "POST /jenkins/j_acegi_security_check HTTP/1.1" 302 -
167.234.14.243 - - [24/Apr/2017:05:51:48 -0400] "GET /jenkins/ HTTP/1.1" 200 958
167.234.14.243 - - [24/Apr/2017:05:51:49 -0400] "GET /jenkins/i18n/resourceBundle?baseName=jenkins.install.pluginSetupWizard&_=1493027508848 HTTP/1.1" 200 6097
167.234.14.243 - - [24/Apr/2017:05:51:49 -0400] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1493027508849 HTTP/1.1" 200 70
167.234.14.243 - - [24/Apr/2017:05:51:49 -0400] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1493027508850 HTTP/1.1" 200 72
167.234.14.243 - - [24/Apr/2017:05:51:49 -0400] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1493027508851 HTTP/1.1" 200 72
167.234.14.243 - - [24/Apr/2017:05:51:50 -0400] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1493027508852 HTTP/1.1" 200 72
167.234.14.243 - - [24/Apr/2017:05:51:50 -0400] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1493027508853 HTTP/1.1" 200 72
167.234.14.243 - - [24/Apr/2017:05:51:50 -0400] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1493027508854 HTTP/1.1" 200 72
167.234.14.243 - - [24/Apr/2017:05:51:50 -0400] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1493027508855 HTTP/1.1" 200 72
167.234.14.243 - - [24/Apr/2017:05:51:50 -0400] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1493027508856 HTTP/1.1" 200 72
167.234.14.243 - - [24/Apr/2017:05:51:50 -0400] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1493027508857 HTTP/1.1" 200 72
167.234.14.243 - - [24/Apr/2017:05:51:51 -0400] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1493027508858 HTTP/1.1" 200 72
167.234.14.243 - - [24/Apr/2017:05:51:51 -0400] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1493027508859 HTTP/1.1" 200 72
167.234.14.243 - - [24/Apr/2017:05:51:51 -0400] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1493027508860 HTTP/1.1" 200 72
167.234.14.243 - - [24/Apr/2017:05:51:51 -0400] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1493027508861 HTTP/1.1" 200 70
167.234.14.243 - - [24/Apr/2017:05:51:51 -0400] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1493027508862 HTTP/1.1" 200 64
167.234.14.243 - - [24/Apr/2017:05:51:52 -0400] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1493027508863 HTTP/1.1" 200 64
167.234.14.243 - - [24/Apr/2017:05:51:52 -0400] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1493027508864 HTTP/1.1" 200 64
167.234.14.243 - - [24/Apr/2017:05:51:52 -0400] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1493027508865 HTTP/1.1" 200 64
167.234.14.243 - - [24/Apr/2017:05:51:52 -0400] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1493027508866 HTTP/1.1" 200 58
167.234.14.243 - - [24/Apr/2017:05:51:52 -0400] "GET /jenkins/setupWizard/platformPluginList?_=1493027508867 HTTP/1.1" 200 2249
167.234.14.243 - - [24/Apr/2017:05:51:53 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508868 HTTP/1.1" 200 48
167.234.14.243 - - [24/Apr/2017:05:51:53 -0400] "GET /jenkins/updateCenter/incompleteInstallStatus?_=1493027508869 HTTP/1.1" 200 25
167.234.14.243 - - [24/Apr/2017:05:51:53 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508870 HTTP/1.1" 200 48
167.234.14.243 - - [24/Apr/2017:05:52:14 -0400] "GET /jenkins/pluginManager/plugins?_=1493027508871 HTTP/1.1" 200 477525
167.234.14.243 - - [24/Apr/2017:05:52:15 -0400] "POST /jenkins/pluginManager/installPlugins HTTP/1.1" 200 79
167.234.14.243 - - [24/Apr/2017:05:52:15 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508872 HTTP/1.1" 200 11091
167.234.14.243 - - [24/Apr/2017:05:52:16 -0400] "GET /jenkins/static/dc3ad335/css/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.2 HTTP/1.1" 200 71760
167.234.14.243 - - [24/Apr/2017:05:52:16 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508873 HTTP/1.1" 200 11094
167.234.14.243 - - [24/Apr/2017:05:52:16 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508874 HTTP/1.1" 200 11094
167.234.14.243 - - [24/Apr/2017:05:52:16 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508875 HTTP/1.1" 200 11094
167.234.14.243 - - [24/Apr/2017:05:52:17 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508876 HTTP/1.1" 200 11091
167.234.14.243 - - [24/Apr/2017:05:52:17 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508877 HTTP/1.1" 200 11094
167.234.14.243 - - [24/Apr/2017:05:52:18 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508878 HTTP/1.1" 200 11094
167.234.14.243 - - [24/Apr/2017:05:52:18 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508879 HTTP/1.1" 200 11091
167.234.14.243 - - [24/Apr/2017:05:52:19 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508880 HTTP/1.1" 200 11091
167.234.14.243 - - [24/Apr/2017:05:52:19 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508881 HTTP/1.1" 200 11094
167.234.14.243 - - [24/Apr/2017:05:52:19 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508882 HTTP/1.1" 200 11091
167.234.14.243 - - [24/Apr/2017:05:52:20 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508883 HTTP/1.1" 200 11094
167.234.14.243 - - [24/Apr/2017:05:52:20 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508884 HTTP/1.1" 200 11091
